,period_sma5,period_sma20,return,pnl,drawdown (%),drawdown (abs)
0,6,8,5164.620833333332,1032924.17,42.9517379477608,45302.10000000011
1,6,10,1880.3624999999993,376072.5,59.12454286658652,55453.5000000001
2,6,12,1947.2979166666657,389459.58,70.42470543095742,55321.240000000005
3,6,14,3570.045833333332,714009.17,47.940697162866606,40228.916666666875
4,6,16,1837.0624999999993,367412.5,42.263897407378394,28942.182944606444
5,6,18,545.7374999999997,109147.5,39.12477209073187,27848.378279883356
6,6,20,501.6166666666662,100323.33,46.58780837716976,35488.92857142879
7,8,10,5158.0270833333325,1031605.42,49.30455553011189,54473.30000000005
8,8,12,3793.579166666666,758715.83,42.51936732564383,42256.30000000009
9,8,14,3483.6395833333327,696727.92,56.25429976457664,49190.37962962981
10,8,16,393.5208333333324,78704.17,48.547599529529315,34052.499999999956
11,8,18,327.04583333333227,65409.17,41.488202175400055,35481.21428571423
12,8,20,267.0604166666657,53412.08,36.97214427486145,27010.0
13,10,12,373.78958333333213,74757.92,65.08188316378602,63342.70000000005
14,10,14,237.86874999999856,47573.75,44.367953496003835,47321.750000000124
15,10,16,338.60208333333225,67720.42,47.640360284409134,38426.00000000001
16,10,18,211.34999999999954,42270.0,50.73855489980337,38042.49999999994
17,10,20,212.7645833333322,42552.92,43.44445708650975,28637.500000000073
18,12,14,500.81145833333227,100162.29,46.31360429252152,46502.18750000001
19,12,16,273.8906249999992,54778.12,49.816086699016154,47943.50000000012
20,12,18,285.2499999999985,57050.0,40.29396479793291,48653.25000000012
21,12,20,3403.362499999998,680672.5,47.28839978801018,37921.74999999999
22,14,16,409.58749999999924,81917.5,33.742190919581404,33918.999999999985
23,14,18,3563.274999999998,712655.0,30.29829803221964,29635.750000000044
24,14,20,228.82499999999925,45765.0,49.84884861106296,39818.52500000001
25,16,18,1936.3374999999994,387267.5,33.851446976721554,34682.5
26,16,20,233.92499999999941,46785.0,76.07657940527179,63450.62499999992
27,18,20,313.69166666666587,62738.33,66.06854727039462,55970.88461538475
